"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong","num_race_eth"
"Kenedy County",334.6,"Male","White",48261,"(26.92722, -97.729018)",1
"Kent County",562.6,"Male","White",48263,"(33.173248, -100.783289)",1
"Kerr County",362.9,"Male","White",48265,"(30.067209, -99.352759)",1
"Kimble County",403.7,"Male","White",48267,"(30.48811, -99.749908)",1
"King County",655.4,"Male","White",48269,"(33.616046, -100.259276)",1
"Kinney County",375,"Male","White",48271,"(29.348653, -100.420371)",1
"Kleberg County",472.6,"Male","White",48273,"(27.43916, -97.733262)",1
"Knox County",434.6,"Male","White",48275,"(33.60522, -99.74123)",1
"Lamar County",596.8,"Male","White",48277,"(33.671811, -95.56629)",1
"Lamb County",452.3,"Male","White",48279,"(34.071557, -102.347073)",1
"Lampasas County",406.9,"Male","White",48281,"(31.201367, -98.244976)",1
"La Salle County",493.1,"Male","White",48283,"(28.343008, -99.100944)",1
"Lavaca County",465.9,"Male","White",48285,"(29.386516, -96.935619)",1
"Lee County",479.1,"Male","White",48287,"(30.318842, -96.972498)",1
"Leon County",388.9,"Male","White",48289,"(31.302035, -95.994996)",1
"Liberty County",658.8,"Male","White",48291,"(30.155052, -94.81795)",1
"Limestone County",482.6,"Male","White",48293,"(31.55385, -96.581945)",1
"Lipscomb County",471.7,"Male","White",48295,"(36.274267, -100.272783)",1
"Live Oak County",509.2,"Male","White",48297,"(28.35048, -98.129854)",1
"Llano County",375,"Male","White",48299,"(30.710191, -98.681978)",1
"Loving County",597.4,"Male","White",48301,"(31.856645, -103.584539)",1
"Lubbock County",461.1,"Male","White",48303,"(33.613697, -101.820878)",1
"Lynn County",452.3,"Male","White",48305,"(33.172235, -101.817157)",1
"McCulloch County",458.5,"Male","White",48307,"(31.200207, -99.34505)",1
"McLennan County",458.6,"Male","White",48309,"(31.557737, -97.200857)",1
"McMullen County",493.4,"Male","White",48311,"(28.349934, -98.573623)",1
"Madison County",490.7,"Male","White",48313,"(30.973659, -95.926008)",1
"Marion County",432.3,"Male","White",48315,"(32.799676, -94.36013)",1
"Martin County",466.2,"Male","White",48317,"(32.306634, -101.952)",1
"Mason County",334.4,"Male","White",48319,"(30.722288, -99.224221)",1
"Matagorda County",448.1,"Male","White",48321,"(28.870504, -95.987045)",1
"Maverick County",333.1,"Male","White",48323,"(28.741641, -100.315886)",1
"Medina County",461.4,"Male","White",48325,"(29.357539, -99.11094)",1
"Menard County",359.2,"Male","White",48327,"(30.893596, -99.820244)",1
"Midland County",460.5,"Male","White",48329,"(31.870648, -102.032206)",1
"Milam County",371.8,"Male","White",48331,"(30.796601, -96.980023)",1
"Mills County",521.3,"Male","White",48333,"(31.50143, -98.592878)",1
"Mitchell County",716.3,"Male","White",48335,"(32.306972, -100.919542)",1
"Montague County",578.4,"Male","White",48337,"(33.677183, -97.721643)",1
"Montgomery County",428.1,"Male","White",48339,"(30.305575, -95.50759)",1
"Moore County",574.8,"Male","White",48341,"(35.840361, -101.892621)",1
"Morris County",532.8,"Male","White",48343,"(33.124358, -94.735835)",1
"Motley County",431.8,"Male","White",48345,"(34.077396, -100.784437)",1
"Nacogdoches County",482,"Male","White",48347,"(31.619589, -94.617305)",1
"Navarro County",504.9,"Male","White",48349,"(32.056032, -96.470082)",1
"Newton County",634.1,"Male","White",48351,"(30.785381, -93.743083)",1
"Nolan County",607,"Male","White",48353,"(32.303967, -100.410557)",1
"Nueces County",411.6,"Male","White",48355,"(27.726025, -97.635938)",1
"Ochiltree County",679.4,"Male","White",48357,"(36.272365, -100.815124)",1
"Oldham County",501.8,"Male","White",48359,"(35.401172, -102.591559)",1
"Orange County",602.8,"Male","White",48361,"(30.127906, -93.895247)",1
"Palo Pinto County",609.2,"Male","White",48363,"(32.756222, -98.306908)",1
"Panola County",427.2,"Male","White",48365,"(32.160728, -94.303631)",1
"Parker County",411.5,"Male","White",48367,"(32.779165, -97.799359)",1
"Parmer County",451.2,"Male","White",48369,"(34.528624, -102.773467)",1
"Pecos County",575.7,"Male","White",48371,"(30.786084, -102.731631)",1
"Polk County",674.7,"Male","White",48373,"(30.794672, -94.830263)",1
"Potter County",540.7,"Male","White",48375,"(35.405302, -101.891389)",1
"Presidio County",350,"Male","White",48377,"(30.000968, -104.235765)",1
"Rains County",531.2,"Male","White",48379,"(32.873701, -95.786222)",1
"Randall County",450.3,"Male","White",48381,"(34.965684, -101.897576)",1
"Reagan County",557,"Male","White",48383,"(31.370691, -101.522099)",1
"Real County",367,"Male","White",48385,"(29.838543, -99.830097)",1
"Red River County",609.5,"Male","White",48387,"(33.627931, -95.045537)",1
"Reeves County",684.9,"Male","White",48389,"(31.328736, -103.692762)",1
"Refugio County",466.5,"Male","White",48391,"(28.32063, -97.160159)",1
"Roberts County",580.6,"Male","White",48393,"(35.841866, -100.815135)",1
"Robertson County",422.2,"Male","White",48395,"(31.034375, -96.513682)",1
"Rockwall County",363.7,"Male","White",48397,"(32.905425, -96.406299)",1
"Runnels County",446.3,"Male","White",48399,"(31.834649, -99.975376)",1
"Rusk County",523.6,"Male","White",48401,"(32.110433, -94.765421)",1
"Sabine County",544.2,"Male","White",48403,"(31.345641, -93.850026)",1
"San Augustine County",480,"Male","White",48405,"(31.399034, -94.170321)",1
"San Jacinto County",433.6,"Male","White",48407,"(30.583279, -95.168748)",1
"San Patricio County",474.9,"Male","White",48409,"(28.003671, -97.511283)",1
"San Saba County",412.4,"Male","White",48411,"(31.158407, -98.817279)",1
"Schleicher County",423,"Male","White",48413,"(30.892459, -100.537075)",1
"Scurry County",532.1,"Male","White",48415,"(32.73961, -100.917806)",1
"Shackelford County",524.3,"Male","White",48417,"(32.739298, -99.355198)",1
"Shelby County",519.1,"Male","White",48419,"(31.794184, -94.142352)",1
"Sherman County",630.2,"Male","White",48421,"(36.272059, -101.893541)",1
"Smith County",534.8,"Male","White",48423,"(32.377685, -95.270483)",1
"Somervell County",482,"Male","White",48425,"(32.226978, -97.772446)",1
"Starr County",309.5,"Male","White",48427,"(26.565759, -98.749657)",1
"Stephens County",593.8,"Male","White",48429,"(32.737809, -98.833384)",1
"Sterling County",390.8,"Male","White",48431,"(31.833036, -101.051409)",1
"Stonewall County",620,"Male","White",48433,"(33.175961, -100.255465)",1
"Sutton County",420.1,"Male","White",48435,"(30.493286, -100.538026)",1
"Swisher County",441.9,"Male","White",48437,"(34.530892, -101.731801)",1
"Tarrant County",417.8,"Male","White",48439,"(32.776215, -97.286653)",1
"Taylor County",527.1,"Male","White",48441,"(32.301345, -99.892274)",1
"Terrell County",507.3,"Male","White",48443,"(30.233267, -102.079592)",1
"Terry County",450.3,"Male","White",48445,"(33.170742, -102.331846)",1
"Throckmorton County",492.7,"Male","White",48447,"(33.178779, -99.208866)",1
"Titus County",503.2,"Male","White",48449,"(33.221409, -94.964483)",1
"Tom Green County",307.5,"Male","White",48451,"(31.407797, -100.464066)",1
"Travis County",300.4,"Male","White",48453,"(30.334783, -97.788007)",1
"Trinity County",567.1,"Male","White",48455,"(31.092163, -95.136108)",1
"Tyler County",565.9,"Male","White",48457,"(30.770293, -94.374849)",1
"Upshur County",525.9,"Male","White",48459,"(32.741323, -94.944141)",1
"Upton County",594.3,"Male","White",48461,"(31.371874, -102.037382)",1
"Uvalde County",399.9,"Male","White",48463,"(29.359795, -99.763448)",1
"Val Verde County",434.7,"Male","White",48465,"(29.893424, -101.148194)",1
"Van Zandt County",531.1,"Male","White",48467,"(32.569053, -95.835594)",1
"Victoria County",429.1,"Male","White",48469,"(28.795155, -96.973428)",1
"Walker County",373.6,"Male","White",48471,"(30.747205, -95.574661)",1
"Waller County",436.5,"Male","White",48473,"(30.012818, -95.994394)",1
"Ward County",695.5,"Male","White",48475,"(31.514446, -103.100004)",1
"Washington County",419.7,"Male","White",48477,"(30.220468, -96.406738)",1
"Webb County",385.2,"Male","White",48479,"(27.762264, -99.337447)",1
"Wharton County",400.3,"Male","White",48481,"(29.277618, -96.231817)",1
"Wheeler County",553.5,"Male","White",48483,"(35.40249, -100.269358)",1
"Wichita County",484.6,"Male","White",48485,"(33.985825, -98.702083)",1
"Wilbarger County",486.5,"Male","White",48487,"(34.078681, -99.241511)",1
"Willacy County",334.5,"Male","White",48489,"(26.471276, -97.682383)",1
"Williamson County",297.5,"Male","White",48491,"(30.65376, -97.600993)",1
"Wilson County",468.4,"Male","White",48493,"(29.176604, -98.093519)",1
"Winkler County",732.5,"Male","White",48495,"(31.850587, -103.053204)",1
"Wise County",471.1,"Male","White",48497,"(33.218652, -97.652229)",1
"Wood County",519.1,"Male","White",48499,"(32.790863, -95.380149)",1
"Yoakum County",523.9,"Male","White",48501,"(33.165632, -102.816631)",1
"Young County",574.9,"Male","White",48503,"(33.176675, -98.684821)",1
"Zapata County",309.4,"Male","White",48505,"(27.000684, -99.174828)",1
"Zavala County",420.1,"Male","White",48507,"(28.866334, -99.76174)",1
"Anderson County",375.2,"Female","White",48001,"(31.818582, -95.653925)",1
"Andrews County",380.2,"Female","White",48003,"(32.302021, -102.632247)",1
"Angelina County",291.7,"Female","White",48005,"(31.258117, -94.613734)",1
"Aransas County",266.6,"Female","White",48007,"(28.120937, -96.991962)",1
"Archer County",311.2,"Female","White",48009,"(33.617932, -98.683651)",1
"Armstrong County",384,"Female","White",48011,"(34.965465, -101.357628)",1
"Atascosa County",289,"Female","White",48013,"(28.888644, -98.530393)",1
"Austin County",247.3,"Female","White",48015,"(29.88676, -96.2835)",1
"Bailey County",303.3,"Female","White",48017,"(34.067759, -102.819187)",1
"Bandera County",280.4,"Female","White",48019,"(29.754297, -99.258457)",1
"Bastrop County",275.4,"Female","White",48021,"(30.105996, -97.319446)",1
"Baylor County",301.3,"Female","White",48023,"(33.615467, -99.209649)",1
"Bee County",270.3,"Female","White",48025,"(28.411146, -97.743253)",1
"Bell County",264.8,"Female","White",48027,"(31.045863, -97.482712)",1
"Bexar County",283,"Female","White",48029,"(29.453009, -98.524606)",1
"Blanco County",186.2,"Female","White",48031,"(30.272461, -98.397174)",1
"Borden County",343,"Female","White",48033,"(32.73961, -101.432429)",1
"Bosque County",270.1,"Female","White",48035,"(31.905356, -97.634677)",1
"Bowie County",411.1,"Female","White",48037,"(33.448664, -94.416258)",1
"Brazoria County",296.4,"Female","White",48039,"(29.192432, -95.462105)",1
"Brazos County",268.6,"Female","White",48041,"(30.670047, -96.301543)",1
"Brewster County",302.8,"Female","White",48043,"(29.81452, -103.250155)",1
"Briscoe County",303.5,"Female","White",48045,"(34.529564, -101.208094)",1
"Brooks County",199.8,"Female","White",48047,"(27.037142, -98.227611)",1
"Brown County",307.8,"Female","White",48049,"(31.777174, -98.999606)",1
"Burleson County",260.9,"Female","White",48051,"(30.499639, -96.621876)",1
"Burnet County",219.3,"Female","White",48053,"(30.797542, -98.182888)",1
"Caldwell County",225.3,"Female","White",48055,"(29.840307, -97.629289)",1
"Calhoun County",285.6,"Female","White",48057,"(28.470103, -96.645264)",1
"Callahan County",341,"Female","White",48059,"(32.303606, -99.373446)",1
"Cameron County",164,"Female","White",48061,"(26.133588, -97.544803)",1
"Camp County",364.4,"Female","White",48063,"(32.981536, -94.975645)",1
"Carson County",377.6,"Female","White",48065,"(35.403924, -101.35697)",1
"Cass County",370.3,"Female","White",48067,"(33.080237, -94.34325)",1
"Castro County",317.2,"Female","White",48069,"(34.530548, -102.257559)",1
"Chambers County",291.4,"Female","White",48071,"(29.745536, -94.609789)",1
"Cherokee County",360,"Female","White",48073,"(31.84112, -95.168269)",1
"Childress County",314.6,"Female","White",48075,"(34.529714, -100.208556)",1
"Clay County",350.4,"Female","White",48077,"(33.784654, -98.205065)",1
"Cochran County",322.5,"Female","White",48079,"(33.601838, -102.818093)",1
"Coke County",248.2,"Female","White",48081,"(31.89263, -100.527805)",1
"Coleman County",322.9,"Female","White",48083,"(31.776377, -99.45247)",1
"Collin County",217.8,"Female","White",48085,"(33.190918, -96.565087)",1
"Collingsworth County",386.3,"Female","White",48087,"(34.963311, -100.268348)",1
"Colorado County",273.3,"Female","White",48089,"(29.621338, -96.533325)",1
"Comal County",238.6,"Female","White",48091,"(29.812207, -98.289011)",1
"Comanche County",320.7,"Female","White",48093,"(31.95219, -98.561002)",1
"Concho County",244.5,"Female","White",48095,"(31.329231, -99.863384)",1
"Cooke County",336.8,"Female","White",48097,"(33.641809, -97.204001)",1
"Coryell County",302.5,"Female","White",48099,"(31.395079, -97.800221)",1
"Cottle County",328.2,"Female","White",48101,"(34.081151, -100.284343)",1
"Crane County",442.3,"Female","White",48103,"(31.43088, -102.511613)",1
"Crockett County",349.6,"Female","White",48105,"(30.727957, -101.413014)",1
"Crosby County",289.6,"Female","White",48107,"(33.612984, -101.303773)",1
"Culberson County",311.7,"Female","White",48109,"(31.457503, -104.516424)",1
"Dallam County",323.3,"Female","White",48111,"(36.272944, -102.596539)",1
"Dallas County",256.8,"Female","White",48113,"(32.773775, -96.773226)",1
"Dawson County",317.7,"Female","White",48115,"(32.739263, -101.945821)",1
"Deaf Smith County",310.4,"Female","White",48117,"(34.964992, -102.595958)",1
"Delta County",363.8,"Female","White",48119,"(33.388888, -95.66343)",1
"Denton County",229.3,"Female","White",48121,"(33.209951, -97.11254)",1
"DeWitt County",245.9,"Female","White",48123,"(29.085185, -97.361764)",1
"Dickens County",301.7,"Female","White",48125,"(33.613871, -100.782481)",1
"Dimmit County",234.3,"Female","White",48127,"(28.422438, -99.751303)",1
"Donley County",391.2,"Female","White",48129,"(34.964522, -100.813885)",1
"Duval County",304.6,"Female","White",48131,"(27.686159, -98.514196)",1
"Eastland County",315.4,"Female","White",48133,"(32.332842, -98.832027)",1
"Ector County",464.5,"Female","White",48135,"(31.869514, -102.545049)",1
"Edwards County",260.7,"Female","White",48137,"(29.981162, -100.305712)",1
"Ellis County",276.1,"Female","White",48139,"(32.359899, -96.79456)",1
"El Paso County",268,"Female","White",48141,"(31.775248, -106.244989)",1
"Erath County",335.6,"Female","White",48143,"(32.240439, -98.21503)",1
"Falls County",259.9,"Female","White",48145,"(31.258898, -96.935139)",1
"Fannin County",392.1,"Female","White",48147,"(33.596707, -96.101851)",1
"Fayette County",270.9,"Female","White",48149,"(29.883069, -96.927656)",1
"Fisher County",355.1,"Female","White",48151,"(32.740514, -100.404855)",1
"Floyd County",288.3,"Female","White",48153,"(34.072796, -101.305009)",1
"Foard County",344.9,"Female","White",48155,"(33.973911, -99.781641)",1
"Fort Bend County",242.4,"Female","White",48157,"(29.53311, -95.773761)",1
"Franklin County",363.8,"Female","White",48159,"(33.183302, -95.215584)",1
"Freestone County",349.1,"Female","White",48161,"(31.711473, -96.149515)",1
"Frio County",328.9,"Female","White",48163,"(28.865095, -99.110262)",1
"Gaines County",352,"Female","White",48165,"(32.735901, -102.629158)",1
"Galveston County",262.8,"Female","White",48167,"(29.406798, -94.955315)",1
"Garza County",279.9,"Female","White",48169,"(33.172933, -101.302538)",1
"Gillespie County",232.5,"Female","White",48171,"(30.324468, -98.949262)",1
"Glasscock County",267.7,"Female","White",48173,"(31.871895, -101.521498)",1
"Goliad County",232.2,"Female","White",48175,"(28.653769, -97.427707)",1
"Gonzales County",280.4,"Female","White",48177,"(29.460268, -97.498962)",1
"Gray County",428.6,"Female","White",48179,"(35.403598, -100.813885)",1
"Grayson County",289.7,"Female","White",48181,"(33.629885, -96.670432)",1
"Gregg County",308,"Female","White",48183,"(32.47925, -94.816827)",1
"Grimes County",290.7,"Female","White",48185,"(30.550013, -95.987077)",1
"Guadalupe County",275.4,"Female","White",48187,"(29.586354, -97.955007)",1
"Hale County",291.5,"Female","White",48189,"(34.07355, -101.824583)",1
"Hall County",296.7,"Female","White",48191,"(34.530892, -100.682762)",1
"Hamilton County",325.7,"Female","White",48193,"(31.709702, -98.105626)",1
"Hansford County",441,"Female","White",48195,"(36.272685, -101.354268)",1
"Hardeman County",343.5,"Female","White",48197,"(34.291164, -99.747749)",1
"Hardin County",359.6,"Female","White",48199,"(30.332636, -94.390874)",1
"Harris County",259,"Female","White",48201,"(29.861852, -95.396028)",1
"Harrison County",285.4,"Female","White",48203,"(32.546804, -94.369614)",1
"Hartley County",405.3,"Female","White",48205,"(35.839507, -102.595685)",1
"Haskell County",384.5,"Female","White",48207,"(33.178429, -99.728483)",1
"Hays County",206.6,"Female","White",48209,"(30.053491, -98.039671)",1
"Hemphill County",316.9,"Female","White",48211,"(35.839372, -100.269797)",1
"Henderson County",383.6,"Female","White",48213,"(32.217069, -95.849923)",1
"Hidalgo County",172.2,"Female","White",48215,"(26.401894, -98.191207)",1
"Hill County",273.6,"Female","White",48217,"(31.999269, -97.132724)",1
"Hockley County",290.4,"Female","White",48219,"(33.611216, -102.338)",1
"Hood County",247.8,"Female","White",48221,"(32.432427, -97.829824)",1
"Hopkins County",360.7,"Female","White",48223,"(33.153071, -95.561345)",1
"Houston County",330.4,"Female","White",48225,"(31.324204, -95.42149)",1
"Howard County",490.2,"Female","White",48227,"(32.30616, -101.435127)",1
"Hudspeth County",279,"Female","White",48229,"(31.458315, -105.390813)",1
"Hunt County",344.1,"Female","White",48231,"(33.127424, -96.078751)",1
"Hutchinson County",534.4,"Female","White",48233,"(35.841282, -101.353978)",1
"Irion County",205.8,"Female","White",48235,"(31.307685, -100.981592)",1
"Jack County",344.2,"Female","White",48237,"(33.235266, -98.170181)",1
"Jackson County",236.5,"Female","White",48239,"(28.947688, -96.577005)",1
"Jasper County",349.8,"Female","White",48241,"(30.747838, -94.023567)",1
"Jeff Davis County",305.9,"Female","White",48243,"(30.716808, -104.142495)",1
"Jefferson County",355.8,"Female","White",48245,"(29.884669, -94.176312)",1
"Jim Hogg County",240.5,"Female","White",48247,"(27.049069, -98.707777)",1
"Jim Wells County",261.3,"Female","White",48249,"(27.731824, -98.095607)",1
"Johnson County",272.9,"Female","White",48251,"(32.383983, -97.366658)",1
"Jones County",389.8,"Female","White",48253,"(32.740283, -99.881124)",1
"Karnes County",289.9,"Female","White",48255,"(28.907883, -97.861794)",1
"Kaufman County",390.1,"Female","White",48257,"(32.605661, -96.286922)",1
"Kendall County",259.8,"Female","White",48259,"(29.94735, -98.719345)",1
"Kenedy County",190.5,"Female","White",48261,"(26.92722, -97.729018)",1
"Kent County",280.9,"Female","White",48263,"(33.173248, -100.783289)",1
"Kerr County",243.9,"Female","White",48265,"(30.067209, -99.352759)",1
