"County","DeathCount","Gender","Race_Ethnicity","LocationID","LatLong"
"Madison County",490.7,"Male","White",48313,"(30.973659, -95.926008)"
"Marion County",432.3,"Male","White",48315,"(32.799676, -94.36013)"
"Martin County",466.2,"Male","White",48317,"(32.306634, -101.952)"
"Mason County",334.4,"Male","White",48319,"(30.722288, -99.224221)"
"Matagorda County",448.1,"Male","White",48321,"(28.870504, -95.987045)"
"Maverick County",333.1,"Male","White",48323,"(28.741641, -100.315886)"
"Medina County",461.4,"Male","White",48325,"(29.357539, -99.11094)"
"Menard County",359.2,"Male","White",48327,"(30.893596, -99.820244)"
"Midland County",460.5,"Male","White",48329,"(31.870648, -102.032206)"
"Milam County",371.8,"Male","White",48331,"(30.796601, -96.980023)"
"Mills County",521.3,"Male","White",48333,"(31.50143, -98.592878)"
"Mitchell County",716.3,"Male","White",48335,"(32.306972, -100.919542)"
"Montague County",578.4,"Male","White",48337,"(33.677183, -97.721643)"
"Montgomery County",428.1,"Male","White",48339,"(30.305575, -95.50759)"
"Moore County",574.8,"Male","White",48341,"(35.840361, -101.892621)"
"Morris County",532.8,"Male","White",48343,"(33.124358, -94.735835)"
"Motley County",431.8,"Male","White",48345,"(34.077396, -100.784437)"
"Nacogdoches County",482,"Male","White",48347,"(31.619589, -94.617305)"
"Navarro County",504.9,"Male","White",48349,"(32.056032, -96.470082)"
"Newton County",634.1,"Male","White",48351,"(30.785381, -93.743083)"
"Nolan County",607,"Male","White",48353,"(32.303967, -100.410557)"
"Nueces County",411.6,"Male","White",48355,"(27.726025, -97.635938)"
"Ochiltree County",679.4,"Male","White",48357,"(36.272365, -100.815124)"
"Oldham County",501.8,"Male","White",48359,"(35.401172, -102.591559)"
"Orange County",602.8,"Male","White",48361,"(30.127906, -93.895247)"
"Palo Pinto County",609.2,"Male","White",48363,"(32.756222, -98.306908)"
"Panola County",427.2,"Male","White",48365,"(32.160728, -94.303631)"
"Parker County",411.5,"Male","White",48367,"(32.779165, -97.799359)"
"Parmer County",451.2,"Male","White",48369,"(34.528624, -102.773467)"
"Pecos County",575.7,"Male","White",48371,"(30.786084, -102.731631)"
"Polk County",674.7,"Male","White",48373,"(30.794672, -94.830263)"
"Potter County",540.7,"Male","White",48375,"(35.405302, -101.891389)"
"Presidio County",350,"Male","White",48377,"(30.000968, -104.235765)"
"Rains County",531.2,"Male","White",48379,"(32.873701, -95.786222)"
"Randall County",450.3,"Male","White",48381,"(34.965684, -101.897576)"
"Reagan County",557,"Male","White",48383,"(31.370691, -101.522099)"
"Real County",367,"Male","White",48385,"(29.838543, -99.830097)"
"Red River County",609.5,"Male","White",48387,"(33.627931, -95.045537)"
"Reeves County",684.9,"Male","White",48389,"(31.328736, -103.692762)"
"Refugio County",466.5,"Male","White",48391,"(28.32063, -97.160159)"
"Roberts County",580.6,"Male","White",48393,"(35.841866, -100.815135)"
"Robertson County",422.2,"Male","White",48395,"(31.034375, -96.513682)"
"Rockwall County",363.7,"Male","White",48397,"(32.905425, -96.406299)"
"Runnels County",446.3,"Male","White",48399,"(31.834649, -99.975376)"
"Rusk County",523.6,"Male","White",48401,"(32.110433, -94.765421)"
"Sabine County",544.2,"Male","White",48403,"(31.345641, -93.850026)"
"San Augustine County",480,"Male","White",48405,"(31.399034, -94.170321)"
